code,var,x
4,alpha_2,AF
4,alpha_3,AFG
4,name,Afghanistan
4,region,Asia
4,sub_region,Southern Asia
248,alpha_2,AX
248,alpha_3,ALA
248,name,Åland Islands
248,region,Europe
248,sub_region,Northern Europe
8,alpha_2,AL
8,alpha_3,ALB
8,name,Albania
8,region,Europe
8,sub_region,Southern Europe
12,alpha_2,DZ
12,alpha_3,DZA
12,name,Algeria
12,region,Africa
12,sub_region,Northern Africa
16,alpha_2,AS
16,alpha_3,ASM
16,name,American Samoa
16,region,Oceania
16,sub_region,Polynesia
20,alpha_2,AD
20,alpha_3,AND
20,name,Andorra
20,region,Europe
20,sub_region,Southern Europe
24,alpha_2,AO
24,alpha_3,AGO
24,name,Angola
24,region,Africa
24,sub_region,Sub-Saharan Africa
660,alpha_2,AI
660,alpha_3,AIA
660,name,Anguilla
660,region,Americas
660,sub_region,Latin America and the Caribbean
10,alpha_2,AQ
10,alpha_3,ATA
10,name,Antarctica
10,region,
10,sub_region,
28,alpha_2,AG
28,alpha_3,ATG
28,name,Antigua and Barbuda
28,region,Americas
28,sub_region,Latin America and the Caribbean
32,alpha_2,AR
32,alpha_3,ARG
32,name,Argentina
32,region,Americas
32,sub_region,Latin America and the Caribbean
51,alpha_2,AM
51,alpha_3,ARM
51,name,Armenia
51,region,Asia
51,sub_region,Western Asia
533,alpha_2,AW
533,alpha_3,ABW
533,name,Aruba
533,region,Americas
533,sub_region,Latin America and the Caribbean
36,alpha_2,AU
36,alpha_3,AUS
36,name,Australia
36,region,Oceania
36,sub_region,Australia and New Zealand
40,alpha_2,AT
40,alpha_3,AUT
40,name,Austria
40,region,Europe
40,sub_region,Western Europe
31,alpha_2,AZ
31,alpha_3,AZE
31,name,Azerbaijan
31,region,Asia
31,sub_region,Western Asia
44,alpha_2,BS
44,alpha_3,BHS
44,name,Bahamas
44,region,Americas
44,sub_region,Latin America and the Caribbean
48,alpha_2,BH
48,alpha_3,BHR
48,name,Bahrain
48,region,Asia
48,sub_region,Western Asia
50,alpha_2,BD
50,alpha_3,BGD
50,name,Bangladesh
50,region,Asia
50,sub_region,Southern Asia
52,alpha_2,BB
52,alpha_3,BRB
52,name,Barbados
52,region,Americas
52,sub_region,Latin America and the Caribbean
112,alpha_2,BY
112,alpha_3,BLR
112,name,Belarus
112,region,Europe
112,sub_region,Eastern Europe
56,alpha_2,BE
56,alpha_3,BEL
56,name,Belgium
56,region,Europe
56,sub_region,Western Europe
84,alpha_2,BZ
84,alpha_3,BLZ
84,name,Belize
84,region,Americas
84,sub_region,Latin America and the Caribbean
204,alpha_2,BJ
204,alpha_3,BEN
204,name,Benin
204,region,Africa
204,sub_region,Sub-Saharan Africa
60,alpha_2,BM
60,alpha_3,BMU
60,name,Bermuda
60,region,Americas
60,sub_region,Northern America
64,alpha_2,BT
64,alpha_3,BTN
64,name,Bhutan
64,region,Asia
64,sub_region,Southern Asia
68,alpha_2,BO
68,alpha_3,BOL
68,name,Bolivia (Plurinational State of)
68,region,Americas
68,sub_region,Latin America and the Caribbean
535,alpha_2,BQ
535,alpha_3,BES
535,name,"Bonaire, Sint Eustatius and Saba"
535,region,Americas
535,sub_region,Latin America and the Caribbean
70,alpha_2,BA
70,alpha_3,BIH
70,name,Bosnia and Herzegovina
70,region,Europe
70,sub_region,Southern Europe
72,alpha_2,BW
72,alpha_3,BWA
72,name,Botswana
72,region,Africa
72,sub_region,Sub-Saharan Africa
74,alpha_2,BV
74,alpha_3,BVT
74,name,Bouvet Island
74,region,Americas
74,sub_region,Latin America and the Caribbean
76,alpha_2,BR
76,alpha_3,BRA
76,name,Brazil
76,region,Americas
76,sub_region,Latin America and the Caribbean
86,alpha_2,IO
86,alpha_3,IOT
86,name,British Indian Ocean Territory
86,region,Africa
86,sub_region,Sub-Saharan Africa
96,alpha_2,BN
96,alpha_3,BRN
96,name,Brunei Darussalam
96,region,Asia
96,sub_region,South-eastern Asia
100,alpha_2,BG
100,alpha_3,BGR
100,name,Bulgaria
100,region,Europe
100,sub_region,Eastern Europe
854,alpha_2,BF
854,alpha_3,BFA
854,name,Burkina Faso
854,region,Africa
854,sub_region,Sub-Saharan Africa
108,alpha_2,BI
108,alpha_3,BDI
108,name,Burundi
108,region,Africa
108,sub_region,Sub-Saharan Africa
132,alpha_2,CV
132,alpha_3,CPV
132,name,Cabo Verde
132,region,Africa
132,sub_region,Sub-Saharan Africa
116,alpha_2,KH
116,alpha_3,KHM
116,name,Cambodia
116,region,Asia
116,sub_region,South-eastern Asia
120,alpha_2,CM
120,alpha_3,CMR
120,name,Cameroon
120,region,Africa
120,sub_region,Sub-Saharan Africa
124,alpha_2,CA
124,alpha_3,CAN
124,name,Canada
124,region,Americas
124,sub_region,Northern America
136,alpha_2,KY
136,alpha_3,CYM
136,name,Cayman Islands
136,region,Americas
136,sub_region,Latin America and the Caribbean
140,alpha_2,CF
140,alpha_3,CAF
140,name,Central African Republic
140,region,Africa
140,sub_region,Sub-Saharan Africa
148,alpha_2,TD
148,alpha_3,TCD
148,name,Chad
148,region,Africa
148,sub_region,Sub-Saharan Africa
152,alpha_2,CL
152,alpha_3,CHL
152,name,Chile
152,region,Americas
152,sub_region,Latin America and the Caribbean
156,alpha_2,CN
156,alpha_3,CHN
156,name,China
156,region,Asia
156,sub_region,Eastern Asia
162,alpha_2,CX
162,alpha_3,CXR
162,name,Christmas Island
162,region,Oceania
162,sub_region,Australia and New Zealand
166,alpha_2,CC
166,alpha_3,CCK
166,name,Cocos (Keeling) Islands
166,region,Oceania
166,sub_region,Australia and New Zealand
170,alpha_2,CO
170,alpha_3,COL
170,name,Colombia
170,region,Americas
170,sub_region,Latin America and the Caribbean
174,alpha_2,KM
174,alpha_3,COM
174,name,Comoros
174,region,Africa
174,sub_region,Sub-Saharan Africa
178,alpha_2,CG
178,alpha_3,COG
178,name,Congo
178,region,Africa
178,sub_region,Sub-Saharan Africa
180,alpha_2,CD
180,alpha_3,COD
180,name,"Congo, Democratic Republic of the"
180,region,Africa
180,sub_region,Sub-Saharan Africa
184,alpha_2,CK
184,alpha_3,COK
184,name,Cook Islands
184,region,Oceania
184,sub_region,Polynesia
188,alpha_2,CR
188,alpha_3,CRI
188,name,Costa Rica
188,region,Americas
188,sub_region,Latin America and the Caribbean
384,alpha_2,CI
384,alpha_3,CIV
384,name,Côte d'Ivoire
384,region,Africa
384,sub_region,Sub-Saharan Africa
191,alpha_2,HR
191,alpha_3,HRV
191,name,Croatia
191,region,Europe
191,sub_region,Southern Europe
192,alpha_2,CU
192,alpha_3,CUB
192,name,Cuba
192,region,Americas
192,sub_region,Latin America and the Caribbean
531,alpha_2,CW
531,alpha_3,CUW
531,name,Curaçao
531,region,Americas
531,sub_region,Latin America and the Caribbean
196,alpha_2,CY
196,alpha_3,CYP
196,name,Cyprus
196,region,Asia
196,sub_region,Western Asia
203,alpha_2,CZ
203,alpha_3,CZE
203,name,Czechia
203,region,Europe
203,sub_region,Eastern Europe
208,alpha_2,DK
208,alpha_3,DNK
208,name,Denmark
208,region,Europe
208,sub_region,Northern Europe
262,alpha_2,DJ
262,alpha_3,DJI
262,name,Djibouti
262,region,Africa
262,sub_region,Sub-Saharan Africa
212,alpha_2,DM
212,alpha_3,DMA
212,name,Dominica
212,region,Americas
212,sub_region,Latin America and the Caribbean
214,alpha_2,DO
214,alpha_3,DOM
214,name,Dominican Republic
214,region,Americas
214,sub_region,Latin America and the Caribbean
218,alpha_2,EC
218,alpha_3,ECU
218,name,Ecuador
218,region,Americas
218,sub_region,Latin America and the Caribbean
818,alpha_2,EG
818,alpha_3,EGY
818,name,Egypt
818,region,Africa
818,sub_region,Northern Africa
222,alpha_2,SV
222,alpha_3,SLV
222,name,El Salvador
222,region,Americas
222,sub_region,Latin America and the Caribbean
226,alpha_2,GQ
226,alpha_3,GNQ
226,name,Equatorial Guinea
226,region,Africa
226,sub_region,Sub-Saharan Africa
232,alpha_2,ER
232,alpha_3,ERI
232,name,Eritrea
232,region,Africa
232,sub_region,Sub-Saharan Africa
233,alpha_2,EE
233,alpha_3,EST
233,name,Estonia
233,region,Europe
233,sub_region,Northern Europe
748,alpha_2,SZ
748,alpha_3,SWZ
748,name,Eswatini
748,region,Africa
748,sub_region,Sub-Saharan Africa
231,alpha_2,ET
231,alpha_3,ETH
231,name,Ethiopia
231,region,Africa
231,sub_region,Sub-Saharan Africa
238,alpha_2,FK
238,alpha_3,FLK
238,name,Falkland Islands (Malvinas)
238,region,Americas
238,sub_region,Latin America and the Caribbean
234,alpha_2,FO
234,alpha_3,FRO
234,name,Faroe Islands
234,region,Europe
234,sub_region,Northern Europe
242,alpha_2,FJ
242,alpha_3,FJI
242,name,Fiji
242,region,Oceania
242,sub_region,Melanesia
246,alpha_2,FI
246,alpha_3,FIN
246,name,Finland
246,region,Europe
246,sub_region,Northern Europe
250,alpha_2,FR
250,alpha_3,FRA
250,name,France
250,region,Europe
250,sub_region,Western Europe
254,alpha_2,GF
254,alpha_3,GUF
254,name,French Guiana
254,region,Americas
254,sub_region,Latin America and the Caribbean
258,alpha_2,PF
258,alpha_3,PYF
258,name,French Polynesia
258,region,Oceania
258,sub_region,Polynesia
260,alpha_2,TF
260,alpha_3,ATF
260,name,French Southern Territories
260,region,Africa
260,sub_region,Sub-Saharan Africa
266,alpha_2,GA
266,alpha_3,GAB
266,name,Gabon
266,region,Africa
266,sub_region,Sub-Saharan Africa
270,alpha_2,GM
270,alpha_3,GMB
270,name,Gambia
270,region,Africa
270,sub_region,Sub-Saharan Africa
268,alpha_2,GE
268,alpha_3,GEO
268,name,Georgia
268,region,Asia
268,sub_region,Western Asia
276,alpha_2,DE
276,alpha_3,DEU
276,name,Germany
276,region,Europe
276,sub_region,Western Europe
288,alpha_2,GH
288,alpha_3,GHA
288,name,Ghana
288,region,Africa
288,sub_region,Sub-Saharan Africa
292,alpha_2,GI
292,alpha_3,GIB
292,name,Gibraltar
292,region,Europe
292,sub_region,Southern Europe
300,alpha_2,GR
300,alpha_3,GRC
300,name,Greece
300,region,Europe
300,sub_region,Southern Europe
304,alpha_2,GL
304,alpha_3,GRL
304,name,Greenland
304,region,Americas
304,sub_region,Northern America
308,alpha_2,GD
308,alpha_3,GRD
308,name,Grenada
308,region,Americas
308,sub_region,Latin America and the Caribbean
312,alpha_2,GP
312,alpha_3,GLP
312,name,Guadeloupe
312,region,Americas
312,sub_region,Latin America and the Caribbean
316,alpha_2,GU
316,alpha_3,GUM
316,name,Guam
316,region,Oceania
316,sub_region,Micronesia
320,alpha_2,GT
320,alpha_3,GTM
320,name,Guatemala
320,region,Americas
320,sub_region,Latin America and the Caribbean
831,alpha_2,GG
831,alpha_3,GGY
831,name,Guernsey
831,region,Europe
831,sub_region,Northern Europe
324,alpha_2,GN
324,alpha_3,GIN
324,name,Guinea
324,region,Africa
324,sub_region,Sub-Saharan Africa
624,alpha_2,GW
624,alpha_3,GNB
624,name,Guinea-Bissau
624,region,Africa
624,sub_region,Sub-Saharan Africa
328,alpha_2,GY
328,alpha_3,GUY
328,name,Guyana
328,region,Americas
328,sub_region,Latin America and the Caribbean
332,alpha_2,HT
332,alpha_3,HTI
332,name,Haiti
332,region,Americas
332,sub_region,Latin America and the Caribbean
334,alpha_2,HM
334,alpha_3,HMD
334,name,Heard Island and McDonald Islands
334,region,Oceania
334,sub_region,Australia and New Zealand
336,alpha_2,VA
336,alpha_3,VAT
336,name,Holy See
336,region,Europe
336,sub_region,Southern Europe
340,alpha_2,HN
340,alpha_3,HND
340,name,Honduras
340,region,Americas
340,sub_region,Latin America and the Caribbean
344,alpha_2,HK
344,alpha_3,HKG
344,name,Hong Kong
344,region,Asia
344,sub_region,Eastern Asia
348,alpha_2,HU
348,alpha_3,HUN
348,name,Hungary
348,region,Europe
348,sub_region,Eastern Europe
352,alpha_2,IS
352,alpha_3,ISL
352,name,Iceland
352,region,Europe
352,sub_region,Northern Europe
356,alpha_2,IN
356,alpha_3,IND
356,name,India
356,region,Asia
356,sub_region,Southern Asia
360,alpha_2,ID
360,alpha_3,IDN
360,name,Indonesia
360,region,Asia
360,sub_region,South-eastern Asia
364,alpha_2,IR
364,alpha_3,IRN
364,name,Iran (Islamic Republic of)
364,region,Asia
364,sub_region,Southern Asia
368,alpha_2,IQ
368,alpha_3,IRQ
368,name,Iraq
368,region,Asia
368,sub_region,Western Asia
372,alpha_2,IE
372,alpha_3,IRL
372,name,Ireland
372,region,Europe
372,sub_region,Northern Europe
833,alpha_2,IM
833,alpha_3,IMN
833,name,Isle of Man
833,region,Europe
833,sub_region,Northern Europe
376,alpha_2,IL
376,alpha_3,ISR
376,name,Israel
376,region,Asia
376,sub_region,Western Asia
380,alpha_2,IT
380,alpha_3,ITA
380,name,Italy
380,region,Europe
380,sub_region,Southern Europe
388,alpha_2,JM
388,alpha_3,JAM
388,name,Jamaica
388,region,Americas
388,sub_region,Latin America and the Caribbean
392,alpha_2,JP
392,alpha_3,JPN
392,name,Japan
392,region,Asia
392,sub_region,Eastern Asia
832,alpha_2,JE
832,alpha_3,JEY
832,name,Jersey
832,region,Europe
832,sub_region,Northern Europe
400,alpha_2,JO
400,alpha_3,JOR
400,name,Jordan
400,region,Asia
400,sub_region,Western Asia
398,alpha_2,KZ
398,alpha_3,KAZ
398,name,Kazakhstan
398,region,Asia
398,sub_region,Central Asia
404,alpha_2,KE
404,alpha_3,KEN
404,name,Kenya
404,region,Africa
404,sub_region,Sub-Saharan Africa
296,alpha_2,KI
296,alpha_3,KIR
296,name,Kiribati
296,region,Oceania
296,sub_region,Micronesia
408,alpha_2,KP
408,alpha_3,PRK
408,name,Korea (Democratic People's Republic of)
408,region,Asia
408,sub_region,Eastern Asia
410,alpha_2,KR
410,alpha_3,KOR
410,name,"Korea, Republic of"
410,region,Asia
410,sub_region,Eastern Asia
414,alpha_2,KW
414,alpha_3,KWT
414,name,Kuwait
414,region,Asia
